instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads
k16x240b,9419777aed4f6f709363418843c01d447253f8545ab886dda1834c98f82bed71,256,480,960,240,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 69572 nodes",12271.0,11392.99999884458,6903.438000000001,5367.561999999999,0.43741846630266473,0,0,1,69572,26,3320.7709999999997,3936.4309606105603,0.0688,60.205166,60.000646,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
markshare1,83516aa1a1d503f01fcea273586406486623370158a119164bd2ffa3594d4752,6,62,312,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 96639 nodes",40.0,0.9999999999990905,0.0,40.0,1.0,0,0,1,96639,0,0.0,0.0,0.0000,60.190464,60.0012214,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 139624 nodes",3.9999999999995293,1.0,0.0,3.9999999999995293,1.0,0,0,1,139624,0,0.0,0.0,0.0000,60.230086,60.0025272,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 112003 nodes",20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,112003,0,0.0,0.0,0.0000,60.169766,60.0004589,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.096146,0.006403,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 26145 nodes",12070893.0,11807698.0,10884739.65124397,1186153.3487560302,0.09826558389309144,0,0,1,26145,211,10593526.0,10851312.359384464,0.1745,60.092236,60.0023794,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 48993 nodes",120.0,119.0,115.0,5.0,0.041666666666666664,0,0,1,48993,90,100.87875,110.17697959822476,0.4863,60.146934,60.0004527,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 71635 nodes",14413.0,14393.0,11718.0,2695.0,0.18698397280233123,0,0,1,71635,26,8877.000000000002,8877.0,0.0000,60.264769,60.0004909,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.109301,0.0050917,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 48122 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,48122,0,13.0,13.0,0.0000,60.168050,60.000682,91b6c08,Windows-AMD64,2026-09-22T14:27:18+00:00,enable_root_cuts=true mip_threads=1,1
