instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,git_commit,machine,timestamp_utc,solver_options
modszk1,af109be42aa6bd62fc307b623184c69f1030db2f8e1682c636b387a49fd8da43,687,1620,3168,optimal,,320.61972906417105,320.61972906,4.1710563891683705e-09,1.3009356602593252e-11,1,1,,1,0.0,0,0.048622,0.0227935,664,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
nesm,20b55063a879a649ef5c7a1a701f81917717b414943f58dea37a1c30495bc5ba,662,2923,13288,optimal,,14076036.48756271,14076073.035,36.547437289729714,2.596422823244446e-06,0,1,,0,0.0,0,0.176866,0.1439974,2560,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
perold,040ed4572876366cd979b6811ee20d706abba6998616b0e53201ea1e043acacd,625,1376,6018,optimal,,-9380.755278235163,-9380.7580773,0.002799064837745391,2.9838365030633286e-07,1,1,,1,0.0,0,0.215396,0.1931524,2823,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
pilot,26916951225f695c68c474adb2e1e052e4c1b3479d6a11fbd579fd20d4e7d2eb,1441,3652,43167,optimal,,-557.4897292893348,-557.40430007,0.08542921933485559,0.0001532625767761878,0,1,,0,0.0,0,1.660608,1.6013784,5793,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
pilot4,67e872aae722a493f5c2c8f88e3d70d093eea116093874ea43852c864a687cba,410,1000,5141,optimal,route: the scaled attempt returned optimal after 0.0 s of its 60 s share; the unscaled retry produced this answer,-2581.1392588847157,-2581.1392641,5.215284545556642e-06,2.0205358998229503e-09,1,1,,1,0.0,0,0.172033,0.1507025,1616,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,optimal,,301.71069145891846,301.71072827,3.681108154296453e-05,1.2200786413541915e-07,1,1,,1,0.0,0,33.397412,33.3087774,33985,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
pilotnov,2b000b6da9fb539e3303d5b81f00cc74f430e7ed52d7666ff1ef835bf060773d,975,2172,13057,optimal,,-4497.276188218868,-4497.2761882,1.8867467588279396e-08,4.195309960678878e-12,1,1,,1,0.0,0,1.198661,1.1699708,11429,simplex-dual+primal,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
recipe,277b34645cc89526db4a3365fa781ce28aa9768a65c4f301416a8a05c934af61,91,180,663,optimal,,-266.61600000000027,-266.616,2.8421709430404007e-13,1.0660166468030429e-15,1,1,,1,0.0,0,0.016558,0.000808,40,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sc105,062d034400be956757316a9bde8e6de3d221a88fb5dc502def743f1883e23ec3,105,103,280,optimal,,-52.20206121170722,-52.202061212,2.927791342699493e-10,5.608574210909634e-12,1,1,,1,0.0,0,0.017066,0.0013126,87,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
sc205,bcecc8d8cafd08c6d97cf8e39a740f5d777e317600bb9f6f158f2ceb550005f9,205,203,551,optimal,,-52.2020612117072,-52.202061212,2.927933451246645e-10,5.608846438756298e-12,1,1,,1,0.0,0,0.018683,0.003146,188,simplex-dual,5b2bd80,Windows-AMD64,2026-09-23T22:11:43+00:00,
