instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 116427 nodes",20.999999999999932,1.0,0.0,20.999999999999932,1.0,0,0,1,116427,0,0.0,0.0,0.0000,60.175748,60.0011256,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.897630,0.0026408,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 42643 nodes",11988623.0,11807698.0,10624073.0,1364550.0,0.11382041123488494,0,0,1,42643,0,10593526.0,10593526.0,0.0000,60.159676,59.9998247,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 72606 nodes",119.0,119.0,115.0,4.0,0.03361344537815126,1,0,1,72606,0,100.87875,100.87875,0.0000,60.165078,59.9999457,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 90414 nodes",15226.0,14393.0,11622.0,3604.0,0.2367003809273611,0,0,1,90414,0,8877.000000000002,8877.000000000002,0.0000,60.161428,60.0006491,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.156588,0.0041157,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 69720 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,69720,0,13.0,13.0,0.0000,60.169486,59.9999827,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 103274 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,103274,0,-43.00000000000001,-43.00000000000001,0.0000,60.178488,60.0002906,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 79650 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,79650,0,-20.02139037433155,-20.02139037433155,0.0000,60.943346,60.0004112,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,691,0,6875.0,6875.0,0.0000,1.228989,1.0779844,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 111330 nodes",18.000000000000018,11.0,5.656924795825353,12.343075204174664,0.6857264002319251,0,0,1,111330,0,0.0,0.0,0.0000,60.175605,60.0000891,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 80746 nodes",3791.0,3663.999999980964,3500.296485360559,290.703514639441,0.07668254145065707,0,0,1,80746,0,3157.377442025726,3157.377442025726,0.0000,60.184866,60.0000539,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 102619 nodes",3319.0,3252.0,3103.796336996337,215.20366300366322,0.06483991051631914,0,0,1,102619,0,2691.439468864469,2691.439468864469,0.0000,60.178672,60.0006149,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 83589 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,83589,0,13.244444444444444,13.244444444444444,0.0000,60.181229,60.0029332,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,115,0,272.00000000000017,272.00000000000017,0.0000,1.058830,0.4169281,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,123,0,272.0,272.0,0.0000,0.591192,0.4323222,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 91052 nodes",1217805.99999966,764771.99999978,317038.33333331,900767.6666663501,0.7396643362461686,0,0,1,91052,0,28693.99999999998,28693.99999999998,0.0000,60.171284,60.0005467,6c405f8,Windows-AMD64,2026-09-22T05:01:19+00:00,conflict_analysis=false
