instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 164733 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,164733,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.836698,60.000492981,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,0.001445,52.669296,11,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 106508 nodes",12.000000000000016,11.0,5.7321416856821,6.267858314317916,0.522321526193159,0,0,1,106508,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,61.175395,60.000290202,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,0.015029,11.867365,7,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 73613 nodes",1106772.99999961,764771.99999978,291565.33333331,815207.6666663,0.7365626615996119,0,0,1,73613,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,61.195060,60.000240766,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,11.338792,26.463951,4,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 111898 nodes",41095.97792999997,40005.05398999999,39535.03583694726,1560.9420930527122,0.03798284337487995,0,0,1,111898,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,61.290418,60.000510598,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,0.291128,2.604865,14,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 47648 nodes",14727.738240696295,12941.73838561778,-437579.8901734886,452307.6284141849,30.711275623051865,0,0,1,47648,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,61.074136,60.000165711,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,0.068961,8.342788,12,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 58721 nodes",2688915333.333401,1200012599.972384,800004250.0,1888911083.3334012,0.7024806842808811,0,0,1,58721,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,61.188844,60.000171357,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,7.533818,38.524970,6,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 42030 nodes",0.529599999999999,0.0268,-1.0914102410369794e-15,0.5296000000000001,0.5296000000000001,0,0,1,42030,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,61.265261,60.002964274,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,0.856959,57.153820,14,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9993s after 60.00s, 0 iterations, 32081 nodes",186105.0,130595.9999999999,27274.886627733933,158830.11337226606,0.8534435580573658,0,0,1,32081,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0285,61.116060,60.000798539,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,13.579118,27.629863,12,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.02s, 0 iterations, 4027 nodes",990055.3399999995,988585.6199999998,955792.7545238113,34262.58547618822,0.03460673771648789,0,0,1,4027,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.826491,60.018323934,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,17.307775,17.425675,5,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9995s after 60.01s, 0 iterations, 3386 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,293.4629242007317,inf,inf,0,0,,3386,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.672170,60.010453415,58a8374,Linux-x86_64,2026-09-25T13:22:44+00:00,gpu_pump=true,1,0,0,0,,,60.010453,0,0,,
