instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.153063,0.0054926,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 59804 nodes",11988623.0,11807698.0,10626859.0,1361764.0,0.11358802424598721,0,0,1,59804,0,10593526.0,10593526.0,0.0000,60.165233,59.9999053,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 75414 nodes",119.0,119.0,116.0,3.0,0.025210084033613446,1,0,1,75414,0,100.87875,100.87875,0.0000,60.159073,60.001848,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 83145 nodes",14900.0,14393.0,11618.0,3282.0,0.22026845637583892,0,0,1,83145,0,8877.000000000002,8877.000000000002,0.0000,60.158671,60.0006871,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.162435,0.006772,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 68797 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,68797,0,13.0,13.0,0.0000,60.158574,59.9998018,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 94663 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,94663,0,-43.00000000000001,-43.00000000000001,0.0000,60.347111,60.0000719,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 75982 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,75982,0,-20.02139037433155,-20.02139037433155,0.0000,60.183219,60.0002486,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,691,0,6875.0,6875.0,0.0000,1.303708,1.1496437,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 108969 nodes",18.000000000000018,11.0,5.609743940625938,12.39025605937408,0.6883475588541149,0,0,1,108969,0,0.0,0.0,0.0000,60.167077,60.0001174,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 77903 nodes",3791.0,3663.999999980964,3498.609816207184,292.39018379281606,0.0771274554979731,0,0,1,77903,0,3157.377442025726,3157.377442025726,0.0000,60.162912,60.0001265,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 98851 nodes",3319.0,3252.0,3101.4365079365084,217.5634920634916,0.06555091656025658,0,0,1,98851,0,2691.439468864469,2691.439468864469,0.0000,60.166350,60.0000922,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 81414 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,81414,0,13.244444444444444,13.244444444444444,0.0000,60.594037,60.0021869,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,102,0,272.00000000000017,272.00000000000017,0.0000,0.527591,0.3758968,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,87,0,272.0,272.0,0.0000,0.492379,0.3380949,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 83798 nodes",1149284.9999995101,764771.99999978,310994.99999999,838289.9999995201,0.7294013234314182,0,0,1,83798,0,28693.99999999998,28693.99999999998,0.0000,60.166436,60.0008864,6c405f8,Windows-AMD64,2026-09-22T05:22:53+00:00,conflict_analysis=true
