instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,highs_objective,relative_difference,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,kkt_1e4_iterations,kkt_1e6_iterations,kkt_1e8_iterations
qap15,a24d84de54c73d7ea01ebaf07739e6884d57794d4b1184c0e01a6a4495695712,6330,22275,94950,optimal,,1040.9940444981166,,,1,,1,18.89617269858718,17.377253014,22,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,14646,23968,133184,optimal,,2.000000000075911,,,1,,1,2.706276221200824,1.591849706,15,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,73728,270324,not_solved,"the interior point declined: the ordering and first factorization of the normal equations (1008912499 factor nonzeros) did not finish within ipm_setup_share = 0.2 of the 299.967s time limit (69.1s), s",0.0,,,,,0,70.57804098725319,69.34466308,0,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
supportcase10,e65868b17479a5a4c408af4a8e6a412c61d681918d7c9d5ad3bbe46966634f0b,165684,14770,555082,not_solved,"the interior point declined: the ordering and first factorization of the normal equations (7755741013 factor nonzeros) did not finish within ipm_setup_share = 0.2 of the 299.871s time limit (69.4s), s",0.0,,,,,0,71.53695462830365,69.823929405,0,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
irish-electricity,60d7ec4482bae32a3747f09c2d8294b8e50dda31d1a82c37a6f6bf17c8c84458,104259,61728,523257,iteration_limit,"iteration limit reached after 300 iterations; relative infeasibility 1.2e-08 / 1.6e-11, gap 6.6e-21",2454405.270894002,,,,,0,85.45127069577575,83.486813089,300,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
rmine15,49bef3a70183d8c465bcff0719c2522f42fec0ef63a6e4b0a33714f2bec5e4bc,358395,42438,879732,optimal,,-5042.48296268802,,,1,,1,137.4178605005145,133.80660321,58,ipm,300.0,58a8374,Linux-x86_64,2026-09-25T12:55:43+00:00,algorithm=ipm crossover=false ipm_linear_solver=cudss,,,,,,
