instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,kkt_1e4_iterations,kkt_1e6_iterations,kkt_1e8_iterations,git_commit,machine,timestamp_utc,solver_options
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924091857,987232.16072,7.968310814350843,8.07136470163154e-06,0,1,,0,0.0,0,1.191834,0.190223952,37,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,feasible,"converged in the scaled space (relative gap 2.3e-18, infeasibility 2.1e-17 / 3.9e-09) but the point measures 1.1e-14 / 4.6e-07 in the model's units, complementarity 2.7e-08, and 3 more iterations did not reduce that: a feasible point, not a proof (#582)",122784.21091285748,122784.23615,0.02523714251583442,2.0554057513542158e-07,0,1,,0,0.0,0,2.252599,1.009424912,31,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,optimal,,-987.2939999874537,-987.294,1.2546252037282102e-08,1.2707716280340103e-11,1,1,,1,0.0,0,1.692549,0.376776793,18,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,optimal,,11266396.04716051,11266400.0,3.9528394900262356,3.508520459087406e-07,1,1,,1,0.0,0,51.681776,50.214684467,53,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,optimal,,68464.29329424458,68464.293232,6.22445804765448e-05,9.091539186071941e-10,1,1,,1,0.0,0,144.480613,143.273441102,21,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,,1497185.1664813687,1497185.1665,1.86313409358263e-05,1.2444246278088076e-11,1,1,,1,0.0,0,11.506993,10.353230561,28,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,feasible,"converged in the scaled space (relative gap 5.6e-14, infeasibility 1.1e-16 / 3.1e-09) but the point measures 3.1e-14 / 1.0e-07 in the model's units, complementarity 1.5e-06, and 3 more iterations did not reduce that: a feasible point, not a proof (#582)",301.71039663699815,301.71072827,0.00033163300184924083,1.0991753715580955e-06,0,1,,0,0.0,0,39.059046,37.648085621,244,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:38:53+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu
