instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,published_objective,absolute_gap,relative_gap,matches_published,independently_verified,verifier_message,passed,objective_offset,differs_by_objective_constant,wall_seconds,solver_seconds,iterations,algorithm,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,kkt_1e4_iterations,kkt_1e6_iterations,kkt_1e8_iterations,git_commit,machine,timestamp_utc,solver_options
80bau3b,22aef70f5ce164435b15c5c0aa3be93a99932dc136eb936eb17835a661087b9f,2262,9799,21002,optimal,,987224.1924091828,987232.16072,7.9683108172612265,8.071364704579563e-06,0,1,,0,0.0,0,2.317783,0.191635904,37,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
d2q06c,fb1516a10aba6a4101cea6cec90c1da775ac60d2d2cd96e902bbe21a430790c9,2171,5167,32417,feasible,"converged in the scaled space (relative gap 2.3e-18, infeasibility 3.8e-17 / 3.9e-09) but the point measures 2.1e-14 / 4.6e-07 in the model's units, complementarity 2.7e-08, and 3 more iterations did not reduce that: a feasible point, not a proof (#582)",122784.21091285611,122784.23615,0.025237143883714452,2.055405862759399e-07,0,1,,0,0.0,0,3.476284,0.500011544,31,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
degen3,08d600688c524fea548e946af5551ef8c359c7a7e71b8841acc839b00eefadeb,1503,1818,24646,optimal,,-987.2939999874535,-987.294,1.2546479410957545e-08,1.2707946580205638e-11,1,1,,1,0.0,0,0.982589,0.315332998,18,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
dfl001,85d47c5f8a5fc53772eabac1805b7a1af72431cad9e14d26d673043980952730,6071,12230,35632,optimal,,11266396.047160104,11266400.0,3.952839896082878,3.508520819501241e-07,1,1,,1,0.0,0,21.984657,20.907006306,53,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
fit2p,0f44de8ea974ed4cc04fb60ccd2707c2f887dc65f8b6b9bd1e9f01bb59dd4a4f,3000,13525,50284,optimal,,68464.29329424458,68464.293232,6.22445804765448e-05,9.091539186071941e-10,1,1,,1,0.0,0,76.867247,75.665650876,21,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
maros-r7,e97f59ab32a8280526c26c210aacabd6e0c05300e67a0d4afd00b95d245f8db7,3136,9408,144848,optimal,,1497185.1664813685,1497185.1665,1.8631573766469955e-05,1.2444401790344585e-11,1,1,,1,0.0,0,6.553624,5.222282052,28,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
pilot87,0ecfcc173d82c8a0252f58a99b2a529d8ad0155ee9212b8451cc25c0e387caa4,2030,4883,73152,feasible,"engine reported optimal but the largest |multiplier| * slack is 1.696e-06, above the 1.0e-06 the independent verifier accepts; reporting a feasible point rather than a proof",301.7103977420571,301.71072827,0.0003305279428786889,1.0955127276180264e-06,0,1,,0,0.0,0,19.411768,18.163122795,239,ipm,,,,,,,58a8374,Linux-x86_64,2026-09-25T12:43:09+00:00,algorithm=ipm crossover=false ipm_linear_solver=cpu ipm_supernodal=true
