instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,false,10000,10000,iteration_limit,225496.78246826062,225494.96316,1.8193082606012467,8.068066067224553e-06,0.604098,0.789038,2000,0.27342,4.133482e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
adlittle,db211f7bf735518a246a2a0e385ec51abc09cd601da7ae50d6c3fe083cb6f94b,56,97,383,cuda,true,10000,10000,iteration_limit,225497.9207107016,225494.96316,2.9575507015979383,1.3115817134679887e-05,0.506794,0.693296,2000,0.300974,2.572757e-05,0.6224,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cpu,false,10000,10000,iteration_limit,-30.81212376649875,-30.812149846,2.607950125010916e-05,8.464031682454891e-07,0.024684,0.196094,2000,0.005273,2.421948e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cpu,true,10000,10000,iteration_limit,-30.81135967313078,-30.812149846,0.0007901728692196741,2.564484702200205e-05,0.019597,0.134522,2000,0.004213,1.922499e-06,0.7938,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,false,10000,10000,iteration_limit,-30.812136979091544,-30.812149846,1.2866908456032888e-05,4.1759203821680936e-07,0.677096,0.920575,2000,0.216016,5.758483e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
blend,38e1d84a38f1e0adaa16d3dd0abe758f6cea13a21f33681aa92742b693260aef,74,83,491,cuda,true,10000,10000,iteration_limit,-30.81209183535458,-30.812149846,5.801064542154677e-05,1.8827198268048682e-06,0.504941,0.845551,2000,0.197919,3.872458e-05,0.6725,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cpu,false,10000,10000,iteration_limit,-419.98803656981283,-415.73224074,4.255795829812826,0.010236867417926364,0.028975,0.144151,2000,0.00627,2.836816e-06,1.0000,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cpu,true,10000,10000,iteration_limit,-420.1692020104469,-415.73224074,4.436961270446886,0.010672641752655823,0.022922,0.255169,2000,0.005016,2.238268e-06,0.7890,3,pdhg-cpu,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cuda,false,10000,10000,iteration_limit,-418.2292240507163,-415.73224074,2.4969833107163026,0.006006229649814248,0.733947,1.001742,2000,0.216535,6.467653e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
share2b,2816c0a71096acc08fd88f65c960366856802c074601e5fa544f9c3eab640c96,96,79,694,cuda,true,10000,10000,iteration_limit,-418.268246080528,-415.73224074,2.5360053405279928,0.006100093021445543,0.629085,0.844143,2000,0.199582,5.366577e-05,0.8298,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:26:05+00:00
