instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 41508 nodes",12318915.0,11807698.0,10625739.0,1693176.0,0.13744522143386817,0,0,1,41508,0,10593526.0,10593526.0,0.0000,60.032571,60.0011733,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 62812 nodes",119.0,119.0,115.0,4.0,0.03361344537815126,1,0,1,62812,0,100.87875,100.87875,0.0000,60.032631,60.0004192,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 78729 nodes",14851.0,14393.0,11683.0,3168.0,0.21331896841963505,0,0,1,78729,0,8877.000000000002,8877.000000000002,0.0000,60.029434,60.000188,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,0,-11980000.0,-11980000.0,0.0000,0.023308,0.0047202,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 50768 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,50768,0,13.0,13.0,0.0000,60.027059,60.0024514,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 89711 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,89711,0,-43.00000000000001,-43.00000000000001,0.0000,60.025824,60.0002329,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 75814 nodes",-15.999999999999998,-16.00000000000012,-20.0,4.000000000000002,0.25000000000000017,1,0,1,75814,0,-20.02139037433155,-20.02139037433155,0.0000,60.032740,60.0003465,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,548,0,6875.0,6875.0,0.0000,1.225981,1.2062183,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 109798 nodes",14.000000000000085,11.0,5.190903198673626,8.80909680132646,0.6292212000947432,0,0,1,109798,0,0.0,0.0,0.0000,60.025190,60.0006429,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 74376 nodes",3681.0,3663.999999980964,3495.769714609103,185.23028539089682,0.05032064259464733,0,0,1,74376,0,3157.377442025726,3157.377442025726,0.0000,60.027428,59.999964,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 98242 nodes",3319.0,3252.0,3147.7423687423684,171.2576312576316,0.051599165790187286,0,0,1,98242,0,2691.439468864469,2691.439468864469,0.0000,60.028627,59.9999576,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 83650 nodes",14.999999999999996,14.99999999990919,14.0,0.9999999999999964,0.06666666666666644,1,0,1,83650,0,13.244444444444444,13.244444444444444,0.0000,60.030742,60.0006511,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,57,0,272.00000000000017,272.00000000000017,0.0000,0.294467,0.2775463,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,97,0,272.0,272.0,0.0000,0.393329,0.3707452,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 89674 nodes",1216709.9999996598,764771.99999978,339819.00000009994,876890.99999956,0.7207066597626428,0,0,1,89674,0,28693.99999999998,28693.99999999998,0.0000,60.032485,60.0008307,0018254,Windows-AMD64,2026-09-23T03:10:47+00:00,,1,0,0
