instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings,seed,permuted_sha256,time_to_first_feasible,primal_integral,incumbents,incumbent_trace_recorded,certificate,certificate_check_seconds
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 164474 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,164474,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.658776,60.000384623,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.001359,52.657955,11,1,,
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 106815 nodes",12.000000000000016,11.0,5.7404162721455885,6.2595837278544275,0.5216319773212016,0,0,1,106815,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.722033,60.00043011,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.014037,11.899655,7,1,,
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 78988 nodes",1106772.99999961,764771.99999978,293732.33333327004,813040.66666634,0.7346047171973173,0,0,1,78988,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,60.785223,60.000409915,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,5.276755,22.275466,4,1,,
mas76,91f624659e181538020e0c627910f02ffa6b355d6df708ef324e697a69485a74,12,151,1640,150,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 113281 nodes",41521.61048,40005.05398999999,39522.94584833513,1998.6646316648694,0.04813552770617074,0,0,1,113281,0,gomory 11: 11 too_dense,38893.90364052266,38893.90364052266,0.0000,60.755903,60.000562787,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.010951,2.653234,9,1,,
neos-3754480-nidda,63f322dd9be49acf31f7579d8f04e3bb578bdd7ca7d3525683384190c9a8bf7f,402,253,1488,50,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 48229 nodes",14727.738240696295,12941.73838561778,-436726.48250126315,451454.22074195946,30.653330020116904,0,0,1,48229,0,gomory 41: 41 too_dense,-1216923.270104403,-1216923.270104403,0.0000,60.885598,60.000738542,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.065775,8.327449,12,1,,
glass4,0d6e6ceaf921e5d5489b9926fdfed2ce0aa25fd9acfa9deb6794669b56b59591,396,322,1815,302,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 64718 nodes",2688915333.333401,1200012599.972384,800004250.0,1888911083.3334012,0.7024806842808811,0,0,1,64718,30,"gomory 72: 36 accepted, 36 duplicate; mir 71: 35 accepted, 36 duplicate",800002400.0,800002400.0,0.0000,60.813466,60.00005268,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,1.209504,35.670074,6,1,,
mad,0109c5aefd23dbe6d46dd84ab4ad451eab329904249b7acaa38e9a0c94a6bc7a,51,220,2808,200,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 48902 nodes",0.5752000000000005,0.0268,-8.079799215504187e-16,0.5752000000000013,0.5752000000000013,0,0,1,48902,5,"gomory 19: 19 too_dense; mir 18: 5 accepted, 13 too_dense",-4.2585791176643604e-16,-9.997499366496248e-17,0.0000,60.775637,60.000985877,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.045942,57.533822,4,1,,
tr12-30,94f8cf2fd2fc920ed6ea2452b0755aeec110eb8404716554485c25e7a1e06a3d,750,1080,2508,360,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 37150 nodes",153897.0,130595.9999999999,27808.709105000176,126088.29089499982,0.8193031111392673,0,0,1,37150,30,gomory 340: 340 accepted; mir 340: 340 accepted,18124.17451832871,22904.232068660192,0.0352,60.843946,60.000358155,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.209030,9.261823,1,1,,
neos-3627168-kasai,adf4a013825ad2932531128132c387eab68470ca087e23ea5cca4d2930954d7e,1655,1462,5158,535,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 6508 nodes",989805.3399999996,988585.6199999998,957480.6604761914,32324.679523808183,0.03265761278253782,0,0,1,6508,30,"gomory 176: 103 accepted, 49 too_dense, 24 coefficient_ratio; mir 280: 280 accepted",945808.0955555545,945808.0955555526,0.0000,60.733782,60.001515029,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,0.480368,0.783948,8,1,,
csched007,7d9ffe638f906498f432519c66db4570704070afdb88435a4bb75e5641f09973,351,1758,6379,1457,time_limit,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 4078 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,350.9999999999955,294.08720871633443,inf,inf,0,0,,4078,30,"gomory 10: 7 accepted, 1 too_dense, 2 duplicate; mir 66: 60 accepted, 6 duplicate",269.2515873015853,280.4162422619635,,60.833293,60.002983906,58a8374,Linux-x86_64,2026-09-25T14:23:45+00:00,gpu_fix_and_prop=true gpu_heur_backend=cpu,1,0,0,0,,,60.002984,0,0,,
