instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,highs_objective,relative_difference,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
Linf_520c,f92054c0b86f40f524b74d9f3315d2466e432fc3df57e8db724eb92f32b29207,93326,69004,566193,numerical_error,"the ordering of the normal equations was abandoned: its quotient graph passed ipm_max_ordering_entries = 100000000 list entries, so the fill-in is beyond what this machine can hold (#246); raise the o",0.0,,,,,0,301.96585290000075,300.3124014,0,ipm,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
bdry2,c7c372628defdb8889499ef5a949bbdbdbfd9a96dd00ceecf2ce5427639bc7a9,376500,250998,1500003,time_limit,"stopped at relative primal 6.027e-02, dual 4.566e-07, gap 9.911e-01 after 27024 iterations and 13 restarts (target 1.0e-04); engine race (#476): no answer passed its check, so pdhg's, the rule table's",0.001999991455586485,,,,,0,302.2925493000075,300.1178982,27024,pdhg-cpu,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,14646,23968,133184,optimal,"; crossover did not reach a vertex (not_solved after 5275 pivots, 2.17s), the interior point's answer stands; engine race (#476), ipm won: dual-simplex: cancelled at 4.35s when the winner was accepted",2.000000000075912,,,1,,1,4.579706200005603,4.3468249,15,ipm,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,73728,270324,optimal,"converged after 560 iterations and 9 restarts; absolute primal 4.381e-10, dual 0.000e+00, relative gap 6.201e-10; engine race (#476), pdhg won: dual-simplex: cancelled at 1.45s when the winner was acc",2.9999999999921965,,,1,,1,1.8572166999947513,1.4490638,560,pdhg-cpu,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
irish-electricity,60d7ec4482bae32a3747f09c2d8294b8e50dda31d1a82c37a6f6bf17c8c84458,104259,61728,523257,time_limit,"stopped at relative primal 2.589e-07, dual 3.145e-05, gap 3.958e-07 after 133934 iterations and 19 restarts (target 1.0e-04); engine race (#476): no answer passed its check, so pdhg's, the rule table'",2454384.056632097,,,,,0,300.9294166000036,300.2165024,133934,pdhg-cpu,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
qap15,a24d84de54c73d7ea01ebaf07739e6884d57794d4b1184c0e01a6a4495695712,6330,22275,94950,optimal,"; crossover did not reach a vertex (numerical_error after 810 pivots, 1.81s), the interior point's answer stands; engine race (#476), ipm won: dual-simplex: time_limit at 282.05s, nothing a check coul",1040.9940444976728,,,1,,1,282.1491748999979,282.047363,22,ipm,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
rmine15,49bef3a70183d8c465bcff0719c2522f42fec0ef63a6e4b0a33714f2bec5e4bc,358395,42438,879732,time_limit,"stopped at relative primal 1.201e-06, dual 0.000e+00, gap 3.968e-07 after 45928 iterations and 16 restarts (target 1.0e-04); engine race (#476): no answer passed its check, so pdhg's, the rule table's",-5042.480760293003,,,,,0,302.15945849999844,300.4113709,45928,pdhg-cpu,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
supportcase10,e65868b17479a5a4c408af4a8e6a412c61d681918d7c9d5ad3bbe46966634f0b,165684,14770,555082,time_limit,"stopped at relative primal 1.350e-09, dual 0.000e+00, gap 9.375e-07 after 109655 iterations and 18 restarts (target 1.0e-04); engine race (#476): no answer passed its check, so pdhg's, the rule table'",3.383923717167835,,,,,0,300.97910880000563,300.2888543,109655,pdhg-cpu,300.0,65eecbc,Windows-AMD64,2026-09-23T23:46:17+00:00,engine_race=true
