instance,rows,cols,nnz,algorithm,tolerance,status,objective,iterations,seconds,wall_seconds,reached_tolerance,primal_residual,dual_residual,kkt_1e4_seconds,kkt_1e6_seconds,kkt_1e8_seconds,git_commit,machine,gpu,timestamp_utc,solver_options
chromaticindex1024-7,67583,270328,270328,pdhg-cpu,1e-04,feasible,3.0000000010966152,440,0.838586,1.210962,1,4.298e-08,0.000e+00,0.604652204,0.73253678,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
chromaticindex1024-7,67583,270328,270328,pdhg-cuda,1e-04,feasible,3.000000000088093,350,0.42232,0.865573,1,2.277e-09,1.129e-20,nan,nan,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
chromaticindex1024-7,67583,270328,270328,pdhg-cpu,1e-08,feasible,3.0000000004404526,480,0.891738,1.282095,1,1.413e-08,0.000e+00,0.593382378,0.720735402,0.846891829,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
chromaticindex1024-7,67583,270328,270328,pdhg-cuda,1e-08,feasible,2.9999999989362442,350,0.350568,0.832624,1,3.756e-08,2.670e-20,nan,nan,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
brazil3,14646,133185,133185,pdhg-cpu,1e-04,feasible,2.0000005945624593,80400,29.324851,29.605963,1,5.838e-08,0.000e+00,18.546813552,nan,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
brazil3,14646,133185,133185,pdhg-cuda,1e-04,feasible,2.000000110023827,51419,3.23027,3.630017,1,9.627e-08,7.314e-17,nan,nan,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
brazil3,14646,133185,133185,pdhg-cpu,1e-08,feasible,2.0000000008694463,186480,69.532493,69.841296,1,8.318e-11,9.559e-10,18.618107551,36.921141174,69.516939263,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
brazil3,14646,133185,133185,pdhg-cuda,1e-08,feasible,1.9999999613728574,150776,9.056038,9.466306,1,3.194e-09,5.112e-17,nan,nan,nan,d5d5271,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-24T14:53:16+00:00,gpu_on_device_loop=true pdhg_two_matvec=true
