instance,instance_sha256,mode,cpu_threads,parallel_spmv,tol,iteration_limit,status,objective,reference_objective,reference_source,abs_gap,rel_gap,primal_residual,dual_residual,iterations,seconds,solver_median_s,wall_median_s,wall_spread_s,repeats,git_commit,machine,card,gpu,timestamp_utc
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,0.0001,,feasible,2.000001042596344,2.0000000000012172,highs,1.043e-06,5.213e-07,9.975e-08,1.046e-15,65160,6.563175,7.160503,8.161334,4.274332,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-06,,feasible,2.0000000851361506,2.0000000000012172,highs,8.513e-08,4.257e-08,8.140e-09,8.089e-08,101600,66.151960,66.561518,67.523527,1.237008,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-28t,28,true,1e-06,,feasible,2.0000000851361506,2.0000000000012172,highs,8.513e-08,4.257e-08,8.140e-09,8.089e-08,101600,66.542193,72.848465,73.805784,7.232364,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-06,,feasible,1.9999988875934829,2.0000000000012172,highs,1.112e-06,5.562e-07,9.183e-08,1.835e-09,114440,11.306742,11.306742,12.345989,4.397393,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-08,,feasible,1.9999999975461507,2.0000000000012172,highs,2.455e-09,1.228e-09,2.028e-10,3.687e-10,194240,126.098101,126.098101,127.047154,2.762732,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-28t,28,true,1e-08,,feasible,1.9999999975461507,2.0000000000012172,highs,2.455e-09,1.228e-09,2.028e-10,3.687e-10,194240,131.226687,131.226687,132.290846,11.619005,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-08,,feasible,2.000000001556267,2.0000000000012172,highs,1.555e-09,7.775e-10,1.489e-10,1.055e-11,169240,16.827862,13.777328,14.923035,3.924187,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-1t,1,false,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.212e-02,0.000e+00,2000,1.411992,1.411992,2.535670,0.183936,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,cpu-28t,28,true,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.212e-02,0.000e+00,2000,1.277072,1.270676,2.293257,0.309545,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,gpu,,,1e-08,2000,iteration_limit,0.0,2.0000000000012172,highs,2.000e+00,1.000e+00,2.212e-02,1.180e-17,2000,0.610117,0.502850,1.455980,0.340637,3,58a8374,Linux-x86_64,a100,"NVIDIA A100-SXM4-40GB (compute 8.0, 40326 MiB VRAM)",2026-09-25T11:08:03+00:00
