instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,false,10000,10000,iteration_limit,-41125.33854650373,-41131.976219,6.637672496268351,0.00016137499596244117,0.683717,0.910133,2000,0.217972,5.863622e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,true,10000,10000,iteration_limit,-41129.20993853926,-41131.976219,2.766280460738926,6.725376981670783e-05,0.651582,0.84761,2000,0.20189,5.604529e-05,0.9558,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,false,10000,10000,iteration_limit,-896633.4013607266,-896644.82186,11.420499273459427,1.2736926590139385e-05,0.615232,0.83754,2000,0.22619,4.863017e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,true,10000,10000,iteration_limit,-896636.6619760667,-896644.82186,8.159883933374658,9.100464012548241e-06,0.584079,0.770163,2000,0.212362,4.667609e-05,0.9598,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,false,10000,10000,iteration_limit,15284.999996540948,15285.0,3.4590520954225212e-06,2.263037026772994e-10,0.642363,0.932328,2000,0.218754,5.295108e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,true,10000,10000,iteration_limit,15285.000023734217,15285.0,2.373421739321202e-05,1.5527783705078195e-09,0.590628,0.87477,2000,0.218828,4.652642e-05,0.8787,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,false,10000,10000,iteration_limit,40596.00008267572,40596.0,8.267571683973074e-05,2.036548350569779e-09,0.632834,0.857625,2000,0.237681,4.939418e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,true,10000,10000,iteration_limit,40595.9999801466,40596.0,1.9853403500746936e-05,4.890482683206951e-10,0.592887,0.801245,2000,0.218115,4.684645e-05,0.9484,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,false,10000,6080,optimal,84140.00000000004,84140.0,4.3655745685100555e-11,5.188465139660156e-16,0.387228,0.645883,2000,0.277801,4.988339e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,true,10000,5360,optimal,84140.00000000003,84140.0,2.9103830456733704e-11,3.4589767597734377e-16,0.488635,0.678189,2000,0.21155,7.293032e-05,1.4620,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,false,10000,10000,iteration_limit,184419.99996964604,184420.0,3.0353956390172243e-05,1.6459145640479472e-10,0.643585,0.837053,2000,0.228842,5.147381e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,true,10000,10000,iteration_limit,184419.9999807004,184420.0,1.9299593986943364e-05,1.0465022224782217e-10,0.620963,0.880285,2000,0.228434,4.906611e-05,0.9532,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,false,10000,10000,optimal,718697.9999999994,718698.0,5.820766091346741e-10,8.099043118732404e-16,0.697055,0.982497,2000,0.267899,6.037348e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,true,10000,9040,optimal,718698.0000000001,718698.0,1.1641532182693481e-10,1.6198086237464807e-16,0.628731,0.814124,2000,0.244031,5.166588e-05,0.8558,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,false,10000,10000,iteration_limit,1355466.9999999828,1355467.0,1.7229467630386353e-08,1.2711093394664977e-14,0.890328,1.127103,2000,0.293597,7.363050e-05,1.0000,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,true,10000,10000,iteration_limit,1355466.999999971,1355467.0,2.9103830456733704e-08,2.1471441545042192e-14,0.786182,1.099914,2000,0.273177,6.422483e-05,0.8723,3,pdhg-cuda,,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:29:17+00:00
