instance,instance_sha256,rows,cols,nnz,engine,two_matvec,iterations_requested,iterations,status,objective,reference_objective,absolute_gap,relative_gap,solver_seconds,wall_seconds,short_iterations,short_solver_seconds,seconds_per_iteration,ratio_to_three_products,repeats,algorithm_ran,solver_options,git_commit,machine,gpu,timestamp_utc
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,false,10000,10000,iteration_limit,-41125.867249723124,-41131.976219,6.108969276872813,0.00014852117107981092,0.612603,0.838111,2000,0.225813,4.848739e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
stocfor1,98e1cb3940233e044e3d0e50869539087acdf8f0862916f777e553afc705ba90,117,111,447,cuda,true,10000,10000,iteration_limit,-41125.57045511644,-41131.976219,6.405763883558393,0.0001557368371860381,0.571658,0.783899,2000,0.212309,4.452635e-05,0.9183,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,false,10000,10000,iteration_limit,-896552.7333545338,-896644.82186,92.0885054662358,0.00010270343754978409,0.768164,1.013237,2000,0.34516,6.382469e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
israel,96564e1fddcbb6e3d46447fceb54b9d18260b95e95075c3a19f5812f9bf5ceeb,174,142,2269,cuda,true,10000,10000,iteration_limit,-896632.8590011105,-896644.82186,11.962858889484778,1.3341803351598043e-05,0.643471,0.867636,2000,0.236634,5.259811e-05,0.8241,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,false,10000,10000,iteration_limit,15285.000002301413,15285.0,2.301412678207271e-06,1.50566743749249e-10,0.637685,0.900894,2000,0.223986,5.171240e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_200x200,12407efbae3a0cb8eceebc1ae692d9ab2454ac3e5045012b104106ed10b54c1d,200,200,1000,cuda,true,10000,10000,iteration_limit,15285.00002090065,15285.0,2.090065027005039e-05,1.367396157674216e-09,0.591093,0.789049,2000,0.219278,4.647691e-05,0.8988,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,false,10000,10000,iteration_limit,40595.99993023511,40596.0,6.976488657528535e-05,1.718516271930371e-09,0.752703,1.025759,2000,0.251612,6.263648e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_500x500,d91169d75e5d3233c7d0d44799d64173b1698078a5aee2a4408b088dc3cbc6cf,500,500,2500,cuda,true,10000,10000,iteration_limit,40596.00003338804,40596.0,3.3388037991244346e-05,8.224464969761638e-10,0.637491,0.825029,2000,0.229448,5.055933e-05,0.8072,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,false,10000,5520,optimal,84139.99999999999,84140.0,1.4551915228366852e-11,1.7294883798867189e-16,0.48998,0.664368,2000,0.250199,6.392290e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_1000x1000,bbddacd7757bec2f722e037d7a21f3018b276106281b192d56c7aa1565fcb419,1000,1000,5000,cuda,true,10000,5040,optimal,84140.00000000013,84140.0,1.3096723705530167e-10,1.556539541898047e-15,0.385421,0.572475,2000,0.244431,4.953042e-05,0.7748,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,false,10000,10000,iteration_limit,184419.99998037724,184420.0,1.9622762920334935e-05,1.0640257521057876e-10,0.780857,0.976359,2000,0.255027,6.583747e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_2000x2000,a946a3fa35726ea3b9f8d49998899a93a70be06e08a111ef45c7eeb0a31181db,2000,2000,10000,cuda,true,10000,10000,iteration_limit,184419.9999643638,184420.0,3.563621430657804e-05,1.932340001441169e-10,0.668362,0.935452,2000,0.2321,5.375497e-05,0.8165,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,false,10000,8840,optimal,718697.9999999992,718698.0,8.149072527885437e-10,1.1338660366225364e-15,0.7653,0.989074,2000,0.276515,7.145986e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_5000x5000,15c8f0b0588db28121e1c13bc6b50c4044839d7e389ad91cb7fad316825297f2,5000,5000,40000,cuda,true,10000,8600,optimal,718697.9999999985,718698.0,1.5133991837501526e-09,2.105751210870425e-15,0.671737,0.927328,2000,0.257154,6.298257e-05,0.8814,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,false,10000,10000,iteration_limit,1355466.9999999914,1355467.0,8.614733815193176e-09,6.3555466973324884e-15,1.133012,1.440137,2000,0.317507,8.803950e-05,1.0000,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
kkt_10000x10000,481a1c95d83f9bbafe1ff06e0267d94ae2ed19f5231b70b3a4fb99668b117a0a,10000,10000,80000,cuda,true,10000,10000,iteration_limit,1355466.9999999849,1355467.0,1.5133991837501526e-08,1.1165149603421939e-14,0.90276,1.185868,2000,0.300207,6.999193e-05,0.7950,3,pdhg-cuda,deterministic=true,58a8374,Linux-x86_64,"NVIDIA L4 (compute 8.9, 22478 MiB VRAM)",2026-09-25T11:31:25+00:00
