instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-refinery-12.mps,9bfa9615c1ded80dd75bb3f7555fcc6cf11b0bc544dec1638cc66114ffb56b2f,1068,1656,13610,-61203.88791,auto,optimal,-61203.88791000005,5.093170329928398e-11,8.321645084733635e-16,1,5853,0.465902,0.4371379,120.0,,refinery,078cb24,Windows-AMD64,2026-09-20T10:13:28+00:00,,simplex-dual+primal,0
scale-refinery-365.mps,773047673050e9dae0b2b25746baface438e4008f53a0be7aa8539de18e74875,32485,50370,415324,-1571173.84568,auto,optimal,-1571173.8456665082,1.3491837307810783e-05,8.587106604980146e-12,1,16,30.023042,29.5554443,120.0,,refinery,078cb24,Windows-AMD64,2026-09-20T10:13:28+00:00,,ipm,0
scale-refinery-8760.mps,e295cbee7078bb6e288df7d7becf55b0d551fbdb70346fd118402e36c6613611,779640,1208880,9968834,-36893749.06238,auto,time_limit,-36893748.67916682,0.38321317732334137,1.038694052684654e-08,1,1510,106.634181,93.5917947,120.0,,refinery,078cb24,Windows-AMD64,2026-09-20T10:13:28+00:00,,pdhg-cpu,0
