instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
ksip,204e3f28cb1e21f89f89d32b1e198c639ee4cf8f3d5d881c6d781889889ea559,1001,20,19898,numerical_error,"engine reported optimal but the returned point violates primal feasibility by 9.952e-07 (9.952e-07 relative to the scale it was measured on), above the 1.0e-07 tolerance; it is not a feasible point",0.5757981381200665,0.57579794,1.9812006657460302e-07,1.9812006657460302e-07,0,,,,,,,0,0,0,0,,,0,16.575467,16.333722459,585800,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
laser,fa2f8ceb861346da2d0e23794ae0f8e28dad4b9ae838ab41f2eb7621796f2047,1000,1002,3000,feasible,"the in-process KKT check does not back the optimal claim (complementary slackness: |multiplier| * slack = 4.233e-05 on row 0); reported as feasible, not optimal (#590)",2409601.343474646,2409601.4,0.05652535380795598,2.3458383535117462e-08,0,4.34602405618989e-07,5.285467636895191e-07,0.0021975040435791016,1.2255221779899657e-09,6.733079795780488e-10,9.119782604396394e-10,0,0,0,0,1,,0,0.3064,0.014450019,600,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet1,327240b19583d2a1653ecc5324a510cfae37bfffa3672a5e87a1a1544ee8a07a,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171219 iterations, 0 nodes",25.012690716634552,36.122402,11.10971128336545,0.30755737902937486,0,8.040519745289298e-07,0.0031442988248101926,0.012798859916074434,8.040519745289298e-07,0.002860794126840317,0.0005114329482714466,0,0,0,0,,,0,30.247803,29.998239043,171219,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet10,4c1b8237a1ba547fbb11213de81d079cadffa61e75e0d3e22b3993b8d4be14e3,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171856 iterations, 0 nodes",25.002405066454685,49.485785,24.483379933545315,0.49475581590845363,0,1.2621627232256571e-07,0.0005841334829845557,0.001507689465142903,1.1494234405742517e-07,0.0005310449221201994,6.029814132932313e-05,0,0,0,0,,,0,30.210117,29.998246588,171856,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet11,b57bc4347fdb0fc23be87851b2c1e89d13fa27722cf9f09b1b9d745e0e512f59,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171362 iterations, 0 nodes",25.00114630118651,49.523957,24.522810698813494,0.4951706645495531,0,4.3493388091064844e-07,0.005534066086744824,0.03409646930595045,3.960845833906033e-07,0.005031335085046934,0.001361938832328756,0,0,0,0,,,0,30.190612,29.998329274,171362,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet12,7770a01846cea88db61ab9172a6245b6ae726cc0281de4fd4fe6c02b23030fb4,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171812 iterations, 0 nodes",25.023015506715183,1736.9274,1711.9043844932849,0.9855935167430054,0,1.5782296276523056e-06,0.09514342554861532,0.7443706490776094,1.4372583857436895e-06,0.08649480954246432,0.02888809305599575,0,0,0,0,,,0,30.2051,29.998277295,171812,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet2,d30971fb3e7b7a586381cd3ffedddc600d5749677315e4c4570ec401551e108d,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 171197 iterations, 0 nodes",24.997915318735522,24.998076,0.00016068126447876807,6.427745258425811e-06,0,4.6979963586046836e-08,8.975482893605613e-05,4.986701333109522e-05,4.6979963586046836e-08,8.167697600878709e-05,1.9948428986341303e-06,0,0,0,0,,,0,30.221785,29.998273501,171197,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet3,67aa7301e7a0b23fcc563681b0b47e639fa50ff329d5b32c24c5ff40063d1113,10000,10002,30000,time_limit,"stopped at the time limit of 29.9975s after 30.00s, 170947 iterations, 0 nodes",25.0011805658271,25.00122,3.943417290130924e-05,1.5772899443030875e-06,0,3.2811610983785044e-08,6.371056062713654e-05,2.999102639478224e-05,3.2811610983785044e-08,5.7997779360160704e-05,1.1995829692560243e-06,0,0,0,0,,,0,30.215333,29.997735427,170947,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet4,0fa291b2fb1414361881d43e2fd4ee4fbb1e128abe077b132711be7f7ec6cfc5,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 170080 iterations, 0 nodes",25.000057772828768,25.000112,5.422717123337861e-05,2.1690771318695935e-06,0,4.6190512028024055e-08,7.645996907305885e-05,2.9179315561123076e-05,4.6190512028024055e-08,6.962933163924857e-05,1.1671685629324805e-06,0,0,0,0,,,0,30.202424,29.998222687,170080,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
liswet5,e6cf57ab95f7f742b3001bc5c8ae2309ad7d10d7fa82a203e51ad20e91dd222e,10000,10002,30000,time_limit,"stopped at the time limit of 29.998s after 30.00s, 170768 iterations, 0 nodes",25.034205607671538,25.034253,4.739232846162622e-05,1.8930993651628519e-06,0,4.2855475834713275e-08,6.993887508345564e-05,3.338107489980757e-05,1.577501345896093e-08,2.4831927357617333e-05,1.3334168022827144e-06,0,0,0,0,,,0,30.261371,29.99822114,170768,qp-condat-vu,30.0,58a8374,Linux-x86_64,2026-09-25T12:53:00+00:00,qp_tolerance=1e-6 qp_primal_weight_pid=true qp_halpern=true
