instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 68545 nodes",14413.0,14393.0,11705.0,2708.0,0.18788593630750017,0,0,1,68545,26,8877.000000000002,8877.0,0.0000,60.137144,59.9999022,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.164338,0.0093938,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9995s after 60.01s, 0 iterations, 45774 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,45774,0,13.0,13.0,0.0000,60.166596,60.0058506,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 80942 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,80942,28,-43.00000000000001,-42.99999999999999,0.0000,60.422998,59.9999641,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 67433 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,67433,0,-20.02139037433155,-20.02139037433155,0.0000,60.410380,60.0036418,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,183,35,6875.0,7155.0,0.3784,2.429250,1.8769209,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 82302 nodes",18.000000000000018,11.0,4.988700044882066,13.011299955117952,0.7228499975065522,0,0,1,82302,0,0.0,0.0,0.0000,60.531606,60.0008589,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9993s after 60.00s, 0 iterations, 43659 nodes",3853.0,3663.999999980964,3458.220926965885,394.77907303411484,0.10246017986870357,0,0,1,43659,37,3157.377442025726,3228.320987325792,0.1020,60.156332,60.0011,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9995s after 60.00s, 0 iterations, 60748 nodes",3297.0,3252.0,3106.388888888888,190.61111111111222,0.05781350048866006,0,0,1,60748,37,2691.439468864469,2825.3665273556526,0.2212,60.141210,59.9997407,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 73256 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,73256,0,13.244444444444444,13.244444444444444,0.0000,60.327689,60.0010335,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,55,29,272.00000000000017,273.5,0.0937,0.545304,0.3943293,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,101,66,272.0,275.0,0.1875,0.993519,0.8448968,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9994s after 60.00s, 0 iterations, 35283 nodes",1294399.99999962,764771.99999978,325091.9999999,969307.99999972,0.7488473423980258,0,0,1,35283,375,28693.99999999998,243080.2079988252,0.1694,60.158208,60.001959,91b6c08,Windows-AMD64,2026-09-22T14:48:45+00:00,enable_root_cuts=true enable_flow_cover_cuts=true mip_threads=1,1
