instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,cut_filter,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
markshare_4_0,1a1feb04f5637db9f69be53bd6224fcd9fe5b8d750870d9b2002b535d25f4353,4,34,123,30,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 167528 nodes",7.000000000000043,1.0,0.0,7.000000000000043,1.0,0,0,1,167528,0,gomory 4: 4 too_dense; mir 8: 8 too_dense,0.0,0.0,0.0000,60.022473,60.0004446,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 138434 nodes",19.0,1.0,0.0,19.0,1.0,0,0,1,138434,0,gomory 5: 5 too_dense; mir 10: 10 too_dense,0.0,0.0,0.0000,60.024560,60.0006203,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,gomory 2: 2 too_dense,3175561447.5053167,3175561447.5053167,0.0000,0.022015,0.0038129,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 41900 nodes",12009820.0,11807698.0,10691725.478616878,1318094.5213831216,0.10975139688880613,0,0,1,41900,30,gomory 143: 143 accepted; cover 1: 1 too_dense; mir 68: 68 accepted,10593526.0,10639973.468922079,0.0328,60.025493,60.0004668,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,optimal,,119.0,119.0,119.0,0.0,0.0,1,1,1,57576,30,"gomory 27: 27 accepted; mir 90: 63 accepted, 27 duplicate",100.87875,109.33734570876892,0.4668,44.048568,44.0234107,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 80762 nodes",14818.0,14393.0,11618.0,3200.0,0.21595356998245377,0,0,1,80762,26,"gomory 26: 4 accepted, 11 too_dense, 11 duplicate; mir 26: 22 accepted, 4 duplicate",8877.000000000002,8877.000000000002,0.0000,60.028299,60.0004967,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,2,gomory 2: 2 accepted; cover 1: 1 insufficient_violation; mir 1: 1 accepted,-11980000.0,-11980000.0,0.0000,0.026334,0.0056796,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 57540 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,57540,0,gomory 29: 29 too_dense; zero_half 1: 1 too_dense,13.0,13.0,0.0000,60.028057,59.9999186,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 88724 nodes",-40.0,-41.00000885,-43.0,3.0,0.075,0,0,1,88724,17,"gomory 18: 18 accepted; cover 1: 1 insufficient_violation; mir 15: 10 accepted, 5 duplicate",-43.00000000000001,-42.999999999999986,0.0000,60.029666,60.0005983,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 74396 nodes",-15.999999999999998,-16.00000000000012,-20.0,4.000000000000002,0.25000000000000017,1,0,1,74396,0,gomory 23: 23 too_dense,-20.02139037433155,-20.02139037433155,0.0000,60.033337,60.0003411,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,396,9,"gomory 21: 9 accepted, 11 too_dense, 1 duplicate; cover 26: 26 insufficient_violation; mir 10: 6 accepted, 4 too_dense; zero_half 66: 20 accepted, 46 too_dense",6875.0,7154.999999999999,0.3784,1.300613,1.2793714,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 108237 nodes",14.000000000000085,11.0,5.149641930808339,8.850358069191746,0.6321684335136922,0,0,1,108237,0,gomory 15: 15 too_dense,0.0,0.0,0.0000,60.027706,60.0007255,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 56653 nodes",3681.0,3663.999999980964,3473.5375457875452,207.46245421245476,0.05636035159262558,0,0,1,56653,23,"gomory 17: 7 accepted, 10 too_dense; mir 16: 16 accepted",3157.377442025726,3176.664832812793,0.0368,60.031273,60.00056,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 74286 nodes",3319.0,3252.0,3137.5535298035297,181.44647019647027,0.05466901783563431,0,0,1,74286,22,"gomory 18: 7 accepted, 11 too_dense; mir 16: 16 accepted",2691.439468864469,2785.536604843958,0.1499,60.027462,59.9999192,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 82611 nodes",14.999999999999996,14.99999999990919,14.0,0.9999999999999964,0.06666666666666644,1,0,1,82611,0,gomory 46: 46 too_dense,13.244444444444444,13.244444444444444,0.0000,60.031520,60.0006012,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,46,27,"gomory 18: 18 too_dense; cover 11: 11 insufficient_violation; zero_half 34: 29 accepted, 5 too_dense",272.00000000000017,273.5,0.0937,0.298810,0.279674,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,41,30,"gomory 25: 25 too_dense; cover 12: 12 insufficient_violation; zero_half 110: 66 accepted, 44 too_dense",272.0,275.0,0.1875,0.287323,0.2680846,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 82922 nodes",1106772.99999961,764771.99999978,295200.33333329996,811572.66666631,0.7332783386174003,0,0,1,82922,30,"gomory 129: 129 accepted; mir 256: 246 accepted, 10 duplicate",28693.99999999998,193698.6451612903,0.1531,60.032055,60.0000803,5daee10,Windows-AMD64,2026-09-24T01:17:05+00:00,,1,0,0
