instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
b-ball,67c5cb2dc43704d11f456537f6a951cb8d5bfb6d74c90fb1827a3bc34abf3586,30,100,209,88,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 118684 nodes",-1.5000000000000002,-1.50000000000001,-1.75,0.24999999999999978,0.1666666666666665,1,0,1,118684,7,-1.8181818181818183,-1.7333333333333334,0.2667,60.043624,60.0005185,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
ej,8a427d75008db853496fc29759c11bb77fddd5e0a0934601710f95a0a1935b00,1,3,3,3,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 78218 nodes",51015.0,25508.0,1.0,51014.0,0.9999803979221797,0,0,1,78218,0,1.0,1.0,0.0000,60.047161,60.0014607,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
enlight8,012d661241f3ef70a7ae28d89408a030ed0b7c538ccbd1e0d820af49fd7397a3,64,128,352,128,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 126937 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,27.0,18.0,inf,inf,0,0,,126937,14,1.0000000000000004,1.5,,60.048614,60.0004536,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
enlight_hard,942168c2126a2a91ae3ec1ededea59bc1af0cad55f94223edf4c03d20e831f66,100,200,560,200,time_limit,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 118150 nodes; no feasible point had been found when the limit stopped the search, so none is reported (the objective is the worst representable value, not a solution)",inf,37.0,26.0,inf,inf,0,0,,118150,30,15.500000000000002,16.0,,60.039477,60.0006381,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
f2gap40400,f592e8d127e1f3c5d36d65b05ddcb88ad5bf34d23de7e22941fd050221314a74,40,400,800,400,optimal,"optimal within the relative gap target (2.000e+00 absolute, 9.628e-05 relative) after 336 nodes; the bound is the best open node's, the tree was not exhausted",20772.0,20771.99999999983,20770.0,2.0,9.628345850182938e-05,1,1,1,336,30,20650.89815396325,20760.32077688293,0.9036,2.824282,2.7808059,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
flugpl,d0b817caf496c95336f64815a740d6a54db1e37924785fcfd3c5da3ee6a15640,18,18,46,11,optimal,,1201500.0,1201500.0,1201500.0,0.0,0.0,1,1,1,701,1,1167185.7255923203,1167875.1663773148,0.0201,0.080605,0.0424035,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
gen-ip016,ba1599099bccf0cf78cbc7e4c181f03a3af877b1ba596dac67ad296c81220bee,24,28,672,28,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 112844 nodes",-9438.111136408,-9476.155197,-9500.311574381834,62.20043797383369,0.006590348118904034,0,0,1,112844,0,-9505.628172760296,-9505.628172760296,0.0000,60.049047,60.0005166,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
gen-ip054,b5089ebc97c43bd583fcadf30955b8800861044d632d747c0b7ac73f19b9e6f3,27,30,532,30,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 119799 nodes",6859.0846354899995,6840.96564179,6789.125694589618,69.9589409003811,0.010199457306358689,0,0,1,119799,1,6765.209042727767,6766.160533329095,0.0101,60.046103,60.0006436,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
gr4x6,ecb539938284a6453b8b94f47dfdd88d635e47cfd2977365f7246bb62ed562c7,34,48,96,24,optimal,,202.35,202.3499999999979,202.35,0.0,0.0,1,1,1,44,4,185.55,189.95000000000002,0.2619,0.067053,0.0233398,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
gt2,67e1ac3d5504e6b033cecd78b66091e3b64952a90147613d7c87e9652422a005,29,188,376,188,optimal,,21166.0,21165.99999999978,21166.0,0.0,0.0,1,1,1,78,13,13460.233074411899,20539.942955771974,0.9188,0.134051,0.0857222,65eecbc,Windows-AMD64,2026-09-23T22:14:48+00:00,,1,0,0
