instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,highs_objective,relative_difference,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
Linf_520c,f92054c0b86f40f524b74d9f3315d2466e432fc3df57e8db724eb92f32b29207,93326,69004,566193,time_limit,"stopped at relative primal 8.379e-02, dual 2.201e-06, gap 9.994e-01 after 68531 iterations and 16 restarts (target 1.0e-04); the interior-point polish did not improve it (time_limit after 0 iterations",0.22878198134634214,Time limit reached,,,,0,448.7579596000014,447.8244593,68531,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
bdry2,c7c372628defdb8889499ef5a949bbdbdbfd9a96dd00ceecf2ce5427639bc7a9,376500,250998,1500003,time_limit,"stopped at relative primal 6.027e-02, dual 4.566e-07, gap 9.911e-01 after 18388 iterations and 13 restarts (target 1.0e-04); the interior-point polish did not improve it (time_limit after 0 iterations",0.001999991455586485,Time limit reached,,,,0,257.6742961,250.2992574,18388,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
brazil3,28cfec922c8c239645c823b7746ae221e38a6208e827a9f040ddf50d9203d125,14646,23968,133184,optimal,"converged after 175360 iterations and 26 restarts; absolute primal 1.148e-10, dual 0.000e+00, relative gap 9.874e-10",2.000000001202497,2.0000000000012172,6.006399821952509e-10,1,,1,87.53513580000072,87.1453699,175360,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
chromaticindex1024-7,5b6f1d9daf867e4d5928e8a48fd1fc5f5c1a3249a18b738f46945ff2ff721b05,67583,73728,270324,optimal,"converged after 560 iterations and 9 restarts; absolute primal 4.381e-10, dual 0.000e+00, relative gap 6.201e-10",2.9999999999921965,3.0,2.6011785318284333e-12,1,,1,2.0379393999992317,1.5384607,560,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
irish-electricity,60d7ec4482bae32a3747f09c2d8294b8e50dda31d1a82c37a6f6bf17c8c84458,104259,61728,523257,time_limit,"stopped at relative primal 2.794e-06, dual 5.975e-05, gap 1.779e-07 after 84512 iterations and 18 restarts (target 1.0e-04); the interior-point polish did not improve it (time_limit after 26 iteration",2454381.099700098,2546254.563314395,0.03608180617051413,,,0,241.20436280000104,240.0756942,84512,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
qap15,a24d84de54c73d7ea01ebaf07739e6884d57794d4b1184c0e01a6a4495695712,6330,22275,94950,time_limit,"stopped at relative primal 4.638e-09, dual 5.563e-10, gap 4.009e-10 after 386889 iterations and 21 restarts (target 1.0e-04); the interior-point polish did not improve it (not_solved after 0 iteration",1040.9940398206868,Time limit reached,,,,0,216.17099170000074,216.0495234,386889,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
rmine15,49bef3a70183d8c465bcff0719c2522f42fec0ef63a6e4b0a33714f2bec5e4bc,358395,42438,879732,time_limit,"stopped at relative primal 3.899e-06, dual 0.000e+00, gap 2.266e-06 after 33153 iterations and 16 restarts (target 1.0e-04); the interior-point polish did not improve it (not_solved after 0 iterations",-5042.467037895129,Time limit reached,,,,0,218.4726340999987,216.4402456,33153,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
supportcase10,e65868b17479a5a4c408af4a8e6a412c61d681918d7c9d5ad3bbe46966634f0b,165684,14770,555082,time_limit,"stopped at relative primal 3.624e-09, dual 0.000e+00, gap 1.384e-06 after 68872 iterations and 17 restarts (target 1.0e-04); the interior-point polish did not improve it (time_limit after 0 iterations",3.383923430667896,3.383923666138003,6.958493472202802e-08,,,0,253.016539799999,251.7136704,68872,pdhg-cpu,300.0,0018254,Windows-AMD64,2026-09-23T05:09:05+00:00,algorithm=pdhg
