instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.018926,0.0041191,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 30457 nodes",12070893.0,11807698.0,10891186.267017793,1179706.732982207,0.097731521021867,0,0,1,30457,211,10593526.0,10851312.359384464,0.1745,60.021867,60.0005235,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 59892 nodes",120.0,119.0,115.0,5.0,0.041666666666666664,0,0,1,59892,90,100.87875,110.17697959822476,0.4863,60.027230,60.0008517,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 86522 nodes",14413.0,14393.0,11778.0,2635.0,0.1828210643169361,0,0,1,86522,26,8877.000000000002,8877.0,0.0000,60.026854,60.000606,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,3,-11980000.0,-11980000.0,0.0000,0.023671,0.0046909,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 50884 nodes",15.5,15.0,14.0,1.5,0.0967741935483871,0,0,1,50884,0,13.0,13.0,0.0000,60.021374,60.0000848,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 99733 nodes",-41.0,-41.00000885,-43.0,2.0,0.04878048780487805,1,0,1,99733,28,-43.00000000000001,-42.99999999999999,0.0000,60.027063,60.0011222,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 74658 nodes",-15.999999999999995,-16.00000000000012,-20.0,4.000000000000005,0.25000000000000044,1,0,1,74658,0,-20.02139037433155,-20.02139037433155,0.0000,60.031770,60.0009789,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,183,35,6875.0,7155.0,0.3784,1.063900,1.0387342,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 108812 nodes",18.000000000000018,11.0,5.6063229318342716,12.393677068165747,0.6885376148980964,0,0,1,108812,0,0.0,0.0,0.0000,60.025938,60.0009328,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 59017 nodes",3812.0,3663.999999980964,3472.067155067154,339.9328449328459,0.08917440842939295,0,0,1,59017,23,3157.377442025726,3176.664832812793,0.0295,60.031718,60.0001959,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 78263 nodes",3319.0,3252.0,3103.8095238095234,215.1904761904766,0.06483593738791099,0,0,1,78263,23,2691.439468864469,2785.5366048439582,0.1499,60.027041,60.0000323,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 80448 nodes",14.999999999999998,14.99999999990919,14.0,0.9999999999999982,0.06666666666666655,1,0,1,80448,0,13.244444444444444,13.244444444444444,0.0000,60.035596,60.0016649,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,56,8,272.00000000000017,273.5,0.0937,0.264786,0.2478136,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,96,28,272.0,274.0,0.1250,0.516627,0.5005279,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 46752 nodes",1294399.99999962,764771.99999978,297004.33333332,997395.6666663,0.7705467140502108,0,0,1,46752,375,28693.99999999998,243080.2079988252,0.1694,60.033023,60.0009915,078cb24,Windows-AMD64,2026-09-20T09:15:04+00:00,enable_root_cuts=true
