case,problem_class,instance,instance_sha256,requested,engine,engine_rule,rep,status,objective,iterations,nodes,classification_seconds,selection_seconds,setup_seconds,presolve_seconds,solve_seconds,postprocess_seconds,total_seconds,wall_seconds,setup_share,independently_verified,git_commit,machine,timestamp_utc,solver_options
lp pdhg,LP,afiro.mps,04992b87e57e57c1c417c96b846833bfa12e055eeaa623f043c45fc773b5be41,algorithm=pdhg,pdhg-cpu,requested,3,optimal,-464.75314284620515,1040,0,0.000002800,0.000010000,0.000012800,0.000077100,0.003693600,0.000020700,0.003867300,0.026709,0.003310,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp medium auto,LP,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,,simplex-dual,default:dual-simplex,1,optimal,5501.845888286749,4107,0,0.000002900,0.000019400,0.000022300,0.000982500,0.285772800,0.000336500,0.287235600,0.325642,0.000078,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp medium auto,LP,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,,simplex-dual,default:dual-simplex,2,optimal,5501.845888286749,4107,0,0.000003100,0.000021200,0.000024300,0.000983600,0.327466700,0.000404200,0.329007300,0.357714,0.000074,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
lp medium auto,LP,25fv47.mps,e0da0d47ae56bef34f11ac03563027da57dd4ab792d978c0dc8e27a16117f627,,simplex-dual,default:dual-simplex,3,optimal,5501.845888286749,4107,0,0.000003200,0.000022100,0.000025300,0.001004300,0.309632300,0.000383600,0.311181300,0.343886,0.000081,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
sparse lp auto,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,,simplex-dual+primal,default:dual-simplex,1,optimal,14465.999999999995,12015,0,0.000003200,0.000022700,0.000025900,0.001529200,2.236950200,0.000423600,2.239168000,2.270353,0.000012,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
sparse lp auto,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,,simplex-dual+primal,default:dual-simplex,2,optimal,14465.999999999995,12015,0,0.000002900,0.000021700,0.000024600,0.001424000,2.266269600,0.000434800,2.268371700,2.310524,0.000011,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
sparse lp auto,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,,simplex-dual+primal,default:dual-simplex,3,optimal,14465.999999999995,12015,0,0.000003300,0.000021800,0.000025100,0.001299100,2.164950100,0.000412000,2.166877500,2.196038,0.000012,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
cpu pdhg,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,algorithm=pdhg,pdhg-cpu,requested,1,optimal,14466.00000036047,248080,0,0.000002600,0.000009900,0.000012500,0.001424200,7.076665200,0.000448500,7.078700800,7.104483,0.000002,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
cpu pdhg,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,algorithm=pdhg,pdhg-cpu,requested,2,optimal,14466.00000036047,248080,0,0.000003000,0.000010700,0.000013700,0.001400200,7.060543300,0.000424300,7.062518300,7.090790,0.000002,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
cpu pdhg,LP,random-sparse-2000.mps,bbd6dfa20a2ba4c1d55d825a1adf14fc3ddc7084fac3f3cc6d3b0880bde49544,algorithm=pdhg,pdhg-cpu,requested,3,optimal,14466.00000036047,248080,0,0.000003000,0.000010000,0.000013000,0.001424100,6.949435000,0.000473500,6.951488300,6.981884,0.000002,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp,MILP,blend_milp.mps,99d99cc883f923acaebe96484d14d05d73300194ee56091b7c17b83eb9f17993,,branch-and-bound,,1,optimal,223.85760517799366,0,1,0.000002500,0.000010100,0.000012600,0.000037500,0.000229600,0.000010400,0.000340700,0.019460,0.036983,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp,MILP,blend_milp.mps,99d99cc883f923acaebe96484d14d05d73300194ee56091b7c17b83eb9f17993,,branch-and-bound,,2,optimal,223.85760517799366,0,1,0.000002700,0.000010700,0.000013400,0.000054700,0.000270500,0.000010900,0.000468100,0.020551,0.028626,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp,MILP,blend_milp.mps,99d99cc883f923acaebe96484d14d05d73300194ee56091b7c17b83eb9f17993,,branch-and-bound,,3,optimal,223.85760517799366,0,1,0.000002700,0.000009400,0.000012100,0.000034900,0.000219500,0.000010400,0.000324600,0.020787,0.037277,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp lot sizing,MILP,lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,,branch-and-bound,,1,optimal,770.0,0,13,0.000002600,0.000010000,0.000012600,0.000044600,0.001017400,0.000022900,0.001150800,0.022237,0.010949,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp lot sizing,MILP,lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,,branch-and-bound,,2,optimal,770.0,0,13,0.000002500,0.000013200,0.000015700,0.000037400,0.001063400,0.000020300,0.001187000,0.020967,0.013227,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
milp lot sizing,MILP,lot_sizing.mps,2d754695b13a433b7bde4b53ae06c9479ed12eaa247b6382ec8aad0d4d61cbda,,branch-and-bound,,3,optimal,770.0,0,13,0.000003600,0.000010800,0.000014400,0.000037900,0.001023700,0.000021500,0.001155800,0.019371,0.012459,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
qp,QP,qp_blend.mps,095946ce21fc29c4e5e2cc55013d7aba0501fda9724c8de72004ba149fa839a6,,qp-condat-vu,,1,optimal,66.66666666686088,900,0,0.000002500,0.000009600,0.000012100,0.000036000,0.003816600,0.000010500,0.003914400,0.033036,0.003091,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
qp,QP,qp_blend.mps,095946ce21fc29c4e5e2cc55013d7aba0501fda9724c8de72004ba149fa839a6,,qp-condat-vu,,2,optimal,66.66666666686088,900,0,0.000002300,0.000009200,0.000011500,0.000031300,0.002223200,0.000010400,0.002313200,0.027606,0.004971,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
qp,QP,qp_blend.mps,095946ce21fc29c4e5e2cc55013d7aba0501fda9724c8de72004ba149fa839a6,,qp-condat-vu,,3,optimal,66.66666666686088,900,0,0.000002700,0.000010100,0.000012800,0.000034300,0.002197000,0.000011500,0.002367700,0.023162,0.005406,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
miqp,MIQP,miqp_blend.mps,4cacc9c42eacb6ad9a9d2e54d9a2deef10e5e74c0a1c8ae87986738d5cbffb06,,branch-and-bound,,1,optimal,66.67,0,1,0.000002400,0.000009500,0.000011900,0.000031500,0.004028900,0.000014600,0.004142600,0.021571,0.002873,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
miqp,MIQP,miqp_blend.mps,4cacc9c42eacb6ad9a9d2e54d9a2deef10e5e74c0a1c8ae87986738d5cbffb06,,branch-and-bound,,2,optimal,66.67,0,1,0.000003000,0.000010100,0.000013100,0.000052100,0.004064800,0.000012800,0.004196900,0.027090,0.003121,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
miqp,MIQP,miqp_blend.mps,4cacc9c42eacb6ad9a9d2e54d9a2deef10e5e74c0a1c8ae87986738d5cbffb06,,branch-and-bound,,3,optimal,66.67,0,1,0.000002600,0.000009400,0.000012000,0.000030900,0.004027700,0.000014600,0.004136100,0.029296,0.002901,1,65eecbc,Windows-AMD64,2026-09-23T22:53:16+00:00,
