instance,instance_sha256,rows,columns,nonzeros,analytic_optimum,engine,status,our_objective,absolute_error,relative_error,reached_optimum,iterations,wall_seconds,solver_seconds,time_limit,iteration_limit,structure,git_commit,machine,timestamp_utc,solver_options,algorithm_used,polish_iterations
scale-staircase-1000.mps,8a908d0c83a6e01aa510089ef5ed76473ffa4eae6b1c175c0ef640c798abdb4e,1000,1000,5000,-5821.0,auto,optimal,-5821.000000000001,9.094947017729282e-13,1.5624372131471023e-16,1,5608,0.601800,0.5832078,120.0,,staircase,078cb24,Windows-AMD64,2026-09-20T10:05:08+00:00,,simplex-dual+primal,0
scale-staircase-5000.mps,31da518ebeef80d24e78f7d4b3df0996068b7e3ff3298ca6485e2c6c46438a17,5000,5000,25000,-14008.0,auto,optimal,-14007.99999999998,2.000888343900442e-11,1.4283897372219032e-15,1,34071,22.456959,22.4202835,120.0,,staircase,078cb24,Windows-AMD64,2026-09-20T10:05:08+00:00,,simplex-dual+primal,0
scale-staircase-20000.mps,07ecebab90220e58a19acc7b46ee5c3a4c1d6b3495e1ae60e83f930c1e1f8f74,20000,20000,100000,7459.0,auto,optimal,7459.000000000014,1.3642420526593924e-11,1.8289878705716482e-15,1,3904,23.422704,23.3153035,120.0,,staircase,078cb24,Windows-AMD64,2026-09-20T10:05:08+00:00,,ipm+crossover,0
scale-staircase-100000.mps,6330815530d3556237e6f825d5d50f95e0988802c48c9c2aa43ac2f31f3b2b44,100000,100000,500000,98414.0,auto,time_limit,98413.94671262236,0.05328737763920799,5.414613534579225e-07,1,18717,114.638767,114.1027877,120.0,,staircase,078cb24,Windows-AMD64,2026-09-20T10:05:08+00:00,,pdhg-cpu,8
