instance,instance_sha256,rows,columns,nonzeros,integer_columns,status,message,our_objective,published_objective,dual_bound,absolute_gap,relative_gap,matched_published,proved_optimal,independently_verified,nodes,cuts_applied,root_bound,root_bound_after_cuts,root_gap_closed,wall_seconds,solver_seconds,git_commit,machine,timestamp_utc,solver_options,threads,restarts,reduced_cost_fixings
markshare_5_0,5309e16f917ec25e9f70402a8c039d4595a91c9499f682b1483babfff5f55b4a,5,45,203,40,feasible,"stopped at the time limit of 59.9999s after 60.00s, 0 iterations, 140781 nodes",19.0,1.0,0.0,19.0,1.0,0,0,1,140781,0,0.0,0.0,0.0000,60.022405,60.0004113,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-1425699,66f7ae93f5715a025ebc2d2ff9b90abdd62b7bd1edefc48307ec38c19d9e722e,89,105,430,85,optimal,,3179698977.0,3179698976.996124,3179698977.0,0.0,0.0,1,1,1,3,0,3175561447.5053167,3175561447.5053167,0.0000,0.020477,0.0039477,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-3072252-nete,91c4f0c863a0597d78ae6ad67a22d711f522319eb4365f7d4b9ec6b3102c01d2,432,576,1292,144,feasible,"stopped at the time limit of 59.9997s after 60.01s, 0 iterations, 13276 nodes",12073442.0,11807698.0,11250507.077008426,822934.9229915738,0.06816075506815486,0,0,1,13276,630,10593526.0,10639973.468922079,0.0314,60.028645,60.0081059,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-3611689-kaihu,60004f4ee9cef8f8e7e9d811d5de63e75e6e96b577a54c923ef1971b89a87039,323,421,1014,88,feasible,"stopped at the time limit of 59.9996s after 60.00s, 0 iterations, 35996 nodes",120.0,119.0,106.0,14.0,0.11666666666666667,0,0,1,35996,581,100.87875,109.33734570876892,0.4424,60.026216,60.0008866,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-5140963-mincio,cf5cafaab453d0d450f7e654dfc85e0492a1a20d9229c0371158a6cc88b1de4b,184,196,834,183,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 82404 nodes",15296.0,14393.0,11616.0,3680.0,0.2405857740585774,0,0,1,82404,30,8877.000000000002,8877.000000000002,0.0000,60.026464,60.0002553,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos-5192052-neckar,a683554818c078fca80fe21c0f452463d5d6a051f6898d9da641d5d9f9575906,57,180,545,24,optimal,,-11670000.0,-11670000.0,-11670000.0,0.0,0.0,1,1,1,9,2,-11980000.0,-11980000.0,0.0000,0.019959,0.0051233,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
neos5,2888e9aeb10a4cf16d3b9ad221302fd3de815ce1454b31e660ebd060589c1072,63,63,2016,53,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 54995 nodes",15.5,15.0,13.999999999999998,1.5000000000000018,0.0967741935483872,0,0,1,54995,0,13.0,13.0,0.0000,60.021804,60.000178,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
noswot,f4ac4805801d06bd12e7f67204101928413f7df27fa347bfca1c918e29bca86b,182,128,735,100,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 88217 nodes",-40.0,-41.00000885,-43.0,3.0,0.075,0,0,1,88217,48,-43.00000000000001,-42.999999999999986,0.0000,60.027200,60.0017311,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
opt1217,21f16d1bd1d917a2b17af6b7b40f6899d75ae4dbf0621f14da71ed2471280124,64,769,1542,768,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 75004 nodes",-15.999999999999998,-16.00000000000012,-20.0,4.000000000000002,0.25000000000000017,1,0,1,75004,0,-20.02139037433155,-20.02139037433155,0.0000,60.034176,60.0006273,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
p0201,2ecd7f035c546453ffd5e4fe12cf41c111be192411c4cb7e268b3c8ba81e5335,133,201,1923,201,optimal,,7615.0,7614.999999999997,7615.0,0.0,0.0,1,1,1,291,58,6875.0,7154.999999999999,0.3784,1.805721,1.7869657,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
pk1,6c64530538b254a8ae648f8f8f188847366ae52da560fdec0ad290c642973ba0,45,86,915,55,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 108821 nodes",14.000000000000085,11.0,5.164503693695502,8.835496306304584,0.6311068790217522,0,0,1,108821,0,0.0,0.0,0.0000,60.025191,60.000202,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
ran12x21,15ad9b8724f5ba4f6ac958e442040a68abab37943e6a0a4cdf59f8a24e03e2b6,285,504,1008,252,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 28760 nodes",3900.0,3663.999999980964,3439.9902905248064,460.00970947519363,0.11795120755774195,0,0,1,28760,196,3157.377442025726,3176.664832812793,0.0260,60.025951,60.0011604,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
ran13x13,ddf6f7b055f8cc7442c39a5f3853c3813a8b1f18ae66378d752938337b9cc579,195,338,676,169,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 36644 nodes",3363.0,3252.0,3084.891697191697,278.10830280830305,0.08269649206312907,0,0,1,36644,196,2691.439468864469,2785.536604843958,0.1401,60.021700,59.9999516,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
rlp1,edd6f521c7abe8b2de7425601d1739599b44d27bc192e8c757fe9b5ba03fa2c3,68,461,836,450,feasible,"stopped at the time limit of 59.9998s after 60.00s, 0 iterations, 84155 nodes",14.999999999999996,14.99999999990919,14.0,0.9999999999999964,0.06666666666666644,1,0,1,84155,0,13.244444444444444,13.244444444444444,0.0000,60.030851,60.0007453,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
supportcase14,a8cb263fed392f55c3a506274e69b5172ae82d308cf05240bde0c8070df7c5f5,234,304,1129,304,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,21,107,272.00000000000017,273.5,0.0937,0.251712,0.2319985,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
supportcase16,2063fbcfb893abb2c80662ba88e473b13cbc89402aeae2c2f2b7d4c19647b663,130,319,1076,319,optimal,,288.0,288.0,288.0,0.0,0.0,1,1,1,30,113,272.0,275.0,0.1875,0.370697,0.3546839,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
timtab1,5867d1a9c1067a849211c1a61bdb8839fb0025255dde09989d0ed333e0674d7a,171,397,829,171,feasible,"stopped at the time limit of 59.9997s after 60.00s, 0 iterations, 39114 nodes",1288719.99999991,764771.99999978,343426.99999994005,945292.9999999698,0.7335130982680768,0,0,1,39114,508,28693.99999999998,193698.6451612903,0.1310,60.027219,60.0006555,0018254,Windows-AMD64,2026-09-23T03:52:44+00:00,enable_root_cuts=true tree_cut_depth=4,1,0,0
