instance,instance_sha256,rows,columns,nonzeros,status,message,our_objective,reference_objective,absolute_gap,relative_gap,matches_reference,primal_residual,dual_residual,duality_gap,primal_residual_rel,dual_residual_rel,duality_gap_rel,success_rel_1e-6,success_rel_1e-9,success_abs_1e-6,success_abs_1e-9,independently_verified,verifier_message,passed,wall_seconds,solver_seconds,iterations,algorithm,time_limit,git_commit,machine,timestamp_utc,solver_options
qsctap2,8c60e9ab769d23e71e06d8114cee67226c657e37968d173c7f0cd48121a6ec84,1090,1880,6714,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",1734.5466798273771,1735.0265,0.4798201726227944,0.0002765491896652843,0,0.03547316659164279,0.015531066703118768,0.42710368919006214,0.0007094630949336469,0.00019413830018388128,0.000246172993072194,0,0,0,0,,,0,16.699979,16.6705999,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qsctap3,2908dd924ac83c4669140781526abaf5b2d4d2683f24cbe910f8dfd28bb1bbe0,1480,2480,8874,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",1438.8119693200063,1438.7547,0.057269320006298585,3.9804783960948025e-05,0,0.007309532725544576,0.0027077076442854064,0.4984835977413695,0.0001461905071394838,3.0083405886741263e-05,0.0003464549978528158,0,0,0,0,,,0,21.03347,20.9960096,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qseba,1471792d39921d2f394182651c967627aa844c623155a7aac8345331692b9e89,515,1028,4352,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",55854.75528495092,81481801.0,81425946.24471505,0.9993145125095486,0,39.5710356586399,9.208621188420523,1309124.103099158,0.0183425509665559,0.001000574509764479,0.9590801315772225,0,0,0,0,,,0,10.867163,10.8238732,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qshare1b,7b7dda1b4c80ebeaad405e4cb2b48c8ad30367d421e1f03e7276188d6b261933,117,225,1151,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",819303.225559222,720078.32,99224.9055592221,0.137797379539523,0,143.36012258114204,260.39482509769056,52840595.63169722,0.0017057071561537862,0.004359226958074561,0.9847315547921793,0,0,0,0,,,0,4.30629,4.278128,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qshare2b,5b4f7d38e8b235588c23e3d93ae696c3a02dd2700f2860653d48eafc93dfcd5c,96,79,694,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",7637.290698268592,11703.692,4066.4013017314073,0.3474460282901676,0,0.9126812976239425,0.0482503276666115,889.6559829479156,0.010146103139199591,4.2056743176158036e-05,0.10433464828713948,0,0,0,0,,,0,3.495901,3.4609614,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qshell,256e1e808adcf27175ea87b35acd6f63b940508666a956b0b7d46ace97fd3c7d,536,1775,3556,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",1572636848595.53,1572636800000.0,48595.530029296875,3.090066951841447e-08,0,0.009353514436043042,1.1810150872042868,23121.39208984375,3.290015627158719e-08,1.4780896903273866e-07,1.470230827323858e-08,0,0,0,0,,,0,74.179037,74.1295008,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship04l,e594bcc1f9d63a9e28c231b91f272da9cac1baae6e188f6f9e834ae26aa2568a,402,2118,6332,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2393244.661273881,2420015.5,26770.83872611914,0.011062259198802295,0,0.184486,7.434592953359243e-05,17356.02807974443,0.0014641732849664502,9.033834482723961e-09,0.007199876842480389,0,0,0,0,,,0,13.773828,13.7422151,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship04s,219ea5310b164982a99d48ed2ec88b72985c10bab5a355e91329c963686cdb2f,402,1458,4352,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2419765.3947392297,2424993.7,5228.3052607704885,0.0021560077705647185,0,0.138365,3.033647772099357e-06,3131.9993226961233,0.0010981348527156277,3.6736180497683086e-10,0.0012926669244731853,0,0,0,0,,,0,9.743874,9.7106225,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship08l,12c3b595401cfc6083a207fbfa9aa91360598c2e745c8edde246f779eb6b7a98,778,4283,12802,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2321123.856788019,2376040.6,54916.74321198091,0.023112712473002738,0,0.158013,0.02366540259180283,38029.44620504789,0.00125406670096565,2.9176923427201123e-06,0.016119955475890346,0,0,0,0,,,0,81.994586,81.9433167,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship08s,a666c5e19e83bb7b1039a48318d88fb738e4ad3d635e8677d06192b82a1c4771,778,2387,7114,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2373296.3409270626,2385728.9,12432.55907293735,0.005211220383396182,0,0.158013,0.0010447282171668348,4633.459037157241,0.0012540706951857628,1.288038734023961e-07,0.0019485264187475003,0,0,0,0,,,0,32.559608,32.5243549,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship12l,28b6cb352828b682150257a89615d268f2b30ae80ca15bbf7e9bbfb38c1607fc,1151,5427,16170,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2833919.917672334,3018876.6,184956.68232766632,0.06126672495578862,0,0.7453450637771533,0.006474497038936988,64833.14238266647,0.010142452487940825,7.072059162993027e-07,0.022365872856184698,0,0,0,0,,,0,131.490216,131.431726,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qship12s,01869f9a7350fdee48fd37f754a786b348be31ffd8ab133b380d9a9926655134,1151,2763,8178,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",2921606.906216732,3056962.3,135355.3937832676,0.044277743884269555,0,0.7587647747736361,0.00021583815879466783,31180.766799818724,0.010216320343703818,2.2517945548968587e-08,0.01055977274788762,0,0,0,0,,,0,43.001728,42.960792,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qsierra,cf01953680e0151f47817e43f65ef28dd827d245f1e4fddc815e6a0fd5174dd1,1227,2036,7302,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",4854051.362834482,23750458.0,18896406.637165517,0.7956228312382657,0,1157.7603563589805,0.0,274781211.2093217,0.011580137857264836,0.0,1.0179828193857745,0,0,0,0,,,0,15.331326,15.2949297,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qstair,3ddbeb67b08eb0b5ab73ddf976ebcaa3d8b2a07da75272bd8ffcf06e86ac5ffb,356,467,3856,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",7965254.060777483,7985452.8,20198.739222517237,0.0025294419400384207,0,0.23715302185162992,1.2194788608465697e-05,9728.374074070714,0.0009089808844374028,2.0125106281674018e-10,0.001219861504842527,0,0,0,0,,,0,9.55091,9.521723,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
qstandat,289f34fe700e68dd14db6c3ccf4ff835d9eac1dedf7b330bf7866f85eb612fa7,359,1075,3031,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",6403.476297342597,6411.8384,8.36210265740283,0.0013041661588668282,0,0.28991611739961076,0.0862679606198542,96.38804377749784,0.00029492179264599384,3.514555460660081e-05,0.014829239306998776,0,0,0,0,,,0,9.57269,9.5458631,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
s268,d25c14fa9417baeb48cf3d68f24551ed02d0d76de3712a061d47a9101d5de856,5,5,25,iteration_limit,"stopped at this engine's own ceiling of 1000000 iterations, no iteration_limit having been set",0.011059869184464333,5.7310705e-07,0.011059296077414333,0.011059296077414333,0,0.0,0.02802232640978275,0.15998079914788832,0.0,8.194141882502704e-07,0.15998079914788832,0,0,0,0,,,0,2.441456,2.4137868,1000000,qp-condat-vu,300.0,65eecbc,Windows-AMD64,2026-09-24T00:16:34+00:00,
